F42B23/00	地雷；　｛陸魚雷｝（Ｆ４２Ｂ１２／００が優先；演習又は訓練用Ｆ４２Ｂ８／２８）
F42B23/005	｛噴進地雷｝
F42B23/04	対車両用　｛，例．対航空機または対タンク（中空装薬それ自体Ｆ４２Ｂ１／０２；中空装薬を有する砲弾Ｆ４２Ｂ１２／１０）｝
F42B23/08	非金属製
F42B23/10	対人用
F42B23/14	非金属性
F42B23/16	飛しょう体形，すなわち．　｛全ての種類の射出される機雷｝地面からの射出後の爆発操作用（機雷の射出を開始するための信管Ｆ４２Ｃ１／０９）
F42B23/24	細＃
F42B25/00	投下爆弾（Ｆ４２Ｂ１０／００，Ｆ４２Ｂ１２／００が優先；演習または訓練用Ｆ４２Ｂ８／１２；　｛滑空型爆弾Ｆ４２Ｂ１５／１０５｝）
F42B27/00	手榴弾（Ｆ４２Ｂ１２／００が優先；演習または訓練用Ｆ４２Ｂ８／１２）
F42B27/08	取っ手付き
F42B29/00	内蔵する推進火薬にて射出される無音弾，無煙弾，または無閃光弾
F42B30/00	弾薬の種別または形式，例．使用する発射装置または武器，に特徴のある他に分類されない発射体または飛しょう体（Ｆ４２Ｂ１０／００，Ｆ４２Ｂ１２／００，Ｆ４２Ｂ１４／００が優先）
F42B30/003	｛そのための締切部材または基板（爆破薬包用の締切部材Ｆ４２Ｂ３／２４，散弾銃薬包用Ｆ４２Ｂ７／１２）｝
F42B30/006	｛センサー，アンテナ，または標的追跡装置を発射体上に取り付けるもの｝
F42B30/02	小銃弾
F42B30/04	小銃てき弾
F42B30/06	弾丸受けまたはそのための弾丸減速手段
F42B30/08	砲用発射体または飛しょう体，例．砲弾
F42B30/10	迫撃砲弾
F42B30/12	付加推進薬または長さ変更用の設備があるもの
F42B30/14	もり（手持ちばね銃または空気銃用Ｆ４２Ｂ６／０２）
F42B33/00	弾薬の製造；弾薬の解体；そのための装置（Ｆ４２Ｂ５／１８８が優先；中空装薬のための製造工程Ｆ４２Ｂ１／０３６:爆破薬包点火装置の製造Ｆ４２Ｂ３／１９５）
F42B33/001	｛弾薬を組立てるための装置または工程，部品からの薬包または薬包素子｝
F42B33/002	｛製造または包装工程の間薬包または薬包部品のための方向付けまたは誘導手段；薬包素子を自動機械に供給するもの｝
