B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B7/00	２つまたはそれ以上の源から液体または他の流動性材料を放出する噴霧装置，例．源が液体と空気からなるもの，粉体と気体からなるもの（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，｛Ｂ０５Ｂ１１／０６｝が優先）
B05B7/0006	｛爆発の手段による噴霧｝
B05B7/0012	｛装置から放出する前に噴霧を達成するための装置｝
B05B7/0018	｛発泡するための装置を有するもの｝
B05B7/0025	｛圧縮ガス供給を有するもの｝
B05B7/0031	｛混合を促進するかき混ぜ手段，例．ボール，冠部，を有するもの｝
B05B7/0037	｛篩い，多孔性部材または類似物を含むもの｝
B05B7/0043	｛複数の個別の素子，例．ニードル，邪魔板，回転可動刃，を含むもの｝
B05B7/005	｛周囲の空気が液流により吸引されるもの｝
B05B7/0056	｛混合を促進するかき混ぜ手段，例．ボール，冠部，を有するもの｝
B05B7/0062	｛篩い，多孔性部材または類似物を含むもの｝
B05B7/0068	｛複数の個別の素子，例．ニードル，邪魔板，回転可動刃，を含むもの｝
B05B7/0075	｛ガス流内のノズル装置｝
